country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","20-05-2025 21:00:00",24.762518,84.982348,NH3,3,4,3
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","20-05-2025 21:00:00",25.697189,85.245900,CO,20,25,23
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","20-05-2025 21:00:00",25.560083,87.553265,PM10,NA,NA,NA
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","20-05-2025 21:00:00",26.0881305,87.93840336,PM2.5,NA,NA,NA
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","20-05-2025 21:00:00",26.0881305,87.93840336,NH3,2,3,3
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","20-05-2025 21:00:00",27.103358,93.679645,SO2,6,7,6
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","20-05-2025 21:00:00",26.071318,91.87488,PM2.5,NA,NA,NA
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","20-05-2025 21:00:00",26.071318,91.87488,NO2,2,8,5
India,Assam,Guwahati,"IITG, Guwahati - PCBA","20-05-2025 21:00:00",26.2028636,91.70046436,NH3,5,5,5
India,Assam,Guwahati,"IITG, Guwahati - PCBA","20-05-2025 21:00:00",26.2028636,91.70046436,SO2,19,20,19
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","20-05-2025 21:00:00",26.80365,84.51954,PM10,16,66,42
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","20-05-2025 21:00:00",26.80365,84.51954,SO2,9,18,14
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","20-05-2025 21:00:00",25.251013,86.989001,PM2.5,2,35,16
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","20-05-2025 21:00:00",25.265194,87.012947,PM2.5,NA,NA,NA
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","20-05-2025 21:00:00",25.265194,87.012947,PM10,27,84,51
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","20-05-2025 21:00:00",16.509717,80.612222,OZONE,14,22,17
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","20-05-2025 21:00:00",16.554731,80.649110,NH3,3,5,4
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","20-05-2025 21:00:00",16.554731,80.649110,OZONE,12,37,25
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","20-05-2025 21:00:00",17.72,83.3,CO,3,86,20
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","20-05-2025 21:00:00",26.187500,91.744194,PM2.5,8,49,20
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","20-05-2025 21:00:00",26.187500,91.744194,PM10,6,40,17
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","20-05-2025 21:00:00",26.349082,92.68449,CO,16,103,39
India,Assam,Silchar,"Tarapur, Silchar - PCBA","20-05-2025 21:00:00",24.82827,92.79525,PM2.5,31,42,38
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","20-05-2025 21:00:00",25.586562,85.043586,PM10,NA,NA,NA
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","20-05-2025 21:00:00",25.586562,85.043586,NH3,NA,NA,NA
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","20-05-2025 21:00:00",25.592539,85.227158,NH3,NA,NA,NA
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","20-05-2025 21:00:00",25.592539,85.227158,SO2,NA,NA,NA
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","20-05-2025 21:00:00",25.592539,85.227158,CO,NA,NA,NA
India,Bihar,Patna,"Muradpur, Patna - BSPCB","20-05-2025 21:00:00",25.619651,85.147382,SO2,6,9,8
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","20-05-2025 21:00:00",25.599486,85.113666,NH3,1,30,24
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","20-05-2025 21:00:00",22.1910172,83.5197009,OZONE,18,37,32
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","20-05-2025 21:00:00",21.258815,81.578979,NO2,12,26,19
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","20-05-2025 21:00:00",21.219665,81.630094,PM2.5,9,34,20
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","20-05-2025 21:00:00",21.219665,81.630094,CO,9,70,29
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","20-05-2025 21:00:00",21.237755,81.705301,PM2.5,17,41,26
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","20-05-2025 21:00:00",25.599486,85.113666,CO,20,30,23
India,Bihar,Patna,"Samanpura, Patna - BSPCB","20-05-2025 21:00:00",25.596727,85.085624,CO,36,42,40
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","20-05-2025 21:00:00",25.366336,87.117468,SO2,13,18,16
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","20-05-2025 21:00:00",25.366336,87.117468,OZONE,10,27,18
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","20-05-2025 21:00:00",25.892357,86.590325,NO2,6,9,7
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","20-05-2025 21:00:00",25.859655,85.77944,NO2,1,2,2
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","20-05-2025 21:00:00",25.859655,85.77944,CO,32,165,135
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","20-05-2025 21:00:00",25.859655,85.77944,OZONE,6,11,8
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","20-05-2025 21:00:00",24.952822,84.002396,PM2.5,NA,NA,NA
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","20-05-2025 21:00:00",24.952822,84.002396,NO2,NA,NA,NA
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","20-05-2025 21:00:00",24.952822,84.002396,NH3,NA,NA,NA
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","20-05-2025 21:00:00",21.185571,81.343175,PM2.5,16,58,34
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","20-05-2025 21:00:00",21.224231,81.408350,NH3,NA,NA,NA
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","20-05-2025 21:00:00",22.08815,82.13737,SO2,5,19,15
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","20-05-2025 21:00:00",22.348441,82.549611,PM2.5,35,95,62
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","20-05-2025 21:00:00",22.348441,82.549611,NO2,22,51,42
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","20-05-2025 21:00:00",22.348441,82.549611,SO2,1,13,5
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","20-05-2025 21:00:00",22.126650,83.483212,PM2.5,13,73,34
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","20-05-2025 21:00:00",30.719859,76.738637,PM2.5,62,137,91
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","20-05-2025 21:00:00",30.719859,76.738637,CO,20,102,53
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","20-05-2025 21:00:00",21.194815,81.314770,NO2,4,17,9
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","20-05-2025 21:00:00",26.2271665,84.3570427,OZONE,NA,NA,NA
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","20-05-2025 21:00:00",30.735567,76.775714,NH3,8,12,10
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","20-05-2025 21:00:00",28.695381,77.181665,CO,40,100,55
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD","20-05-2025 21:00:00",28.4706914,77.1099364,PM2.5,16,415,202
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD","20-05-2025 21:00:00",28.4706914,77.1099364,OZONE,50,188,152
India,Delhi,Delhi,"Bawana, Delhi - DPCC","20-05-2025 21:00:00",28.776200,77.051074,PM10,140,413,231
India,Delhi,Delhi,"Bawana, Delhi - DPCC","20-05-2025 21:00:00",28.776200,77.051074,NO2,2,42,22
India,Delhi,Delhi,"Bawana, Delhi - DPCC","20-05-2025 21:00:00",28.776200,77.051074,NH3,9,39,17
India,Delhi,Delhi,"Bawana, Delhi - DPCC","20-05-2025 21:00:00",28.776200,77.051074,OZONE,7,97,57
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD","20-05-2025 21:00:00",28.7256504,77.2011573,PM2.5,77,245,140
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","20-05-2025 21:00:00",28.5512005,77.2735737,OZONE,29,87,47
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","20-05-2025 21:00:00",28.60909,77.0325413,OZONE,51,89,69
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","20-05-2025 21:00:00",28.570173,76.933762,PM2.5,65,207,146
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","20-05-2025 21:00:00",28.570173,76.933762,NO2,13,70,37
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","20-05-2025 21:00:00",28.570173,76.933762,NH3,8,17,12
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","20-05-2025 21:00:00",28.570173,76.933762,OZONE,30,229,168
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","20-05-2025 21:00:00",28.567890,77.250515,PM2.5,85,257,155
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","20-05-2025 21:00:00",28.567890,77.250515,PM10,123,295,200
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","20-05-2025 21:00:00",28.567890,77.250515,NO2,21,102,42
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD","20-05-2025 21:00:00",28.6573814,77.1585447,PM10,59,481,229
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","20-05-2025 21:00:00",28.530785,77.271255,NO2,26,84,44
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","20-05-2025 21:00:00",28.530785,77.271255,OZONE,24,315,262
